Label,MQ2,MQ3,MQ135,MQ136,MQ137,MQ138
Soy Sauce,584.0865224625624,133.4475873544093,336.2712146422629,91.56405990016638,764.1131447587354,750.4525790349418
Soy Sauce,575.9417637271215,121.4575707154742,298.87354409317805,100.20798668885192,745.6439267886856,718.432612312812
Soy Sauce,590.3344425956739,136.3477537437604,342.1863560732113,105.66389351081531,765.171381031614,743.0715474209651
Soy Sauce,539.6395663956639,120.86449864498645,261.4065040650407,84.70189701897019,762.5040650406504,706.2140921409214
Soy Sauce,574.7359735973597,128.73927392739273,297.6963696369637,93.8102310231023,773.523102310231,744.6435643564356
Soy Sauce,575.4561983471075,119.81322314049586,292.08429752066115,85.83801652892562,768.0495867768595,742.7950413223141
Soy Sauce,591.3677204658902,132.2063227953411,315.585690515807,96.77537437603993,783.5474209650582,754.820299500832
Soy Sauce,561.6605657237936,118.57903494176372,276.67886855241267,81.01331114808653,760.3843594009984,732.3361064891847
Soy Sauce,572.4646962233169,116.6256157635468,282.6190476190476,84.82758620689656,767.4351395730706,735.7011494252873
Soy Sauce,573.8592471358429,118.13093289689034,275.2291325695581,86.47463175122749,763.5090016366612,723.8248772504091
Soy Sauce,567.9409836065573,117.9983606557377,273.5672131147541,84.89508196721312,759.8098360655738,727.644262295082
Soy Sauce,578.7520798668885,138.18801996672212,302.5540765391015,94.07154742096506,746.2079866888519,724.2396006655574
Soy Sauce,606.110183639399,171.457429048414,362.7813021702838,119.90818030050083,771.7896494156928,761.8781302170283
Soy Sauce,603.375,132.4128289473684,303.05592105263156,95.46710526315789,776.2368421052631,746.6973684210526
Soy Sauce,586.3722871452421,148.5559265442404,318.2938230383973,106.12520868113522,755.8430717863105,739.5993322203673
Soy Sauce,565.0550918196996,158.19031719532555,292.74457429048414,108.2838063439065,738.711185308848,709.5275459098498
Soy Sauce,569.2804674457429,160.4974958263773,290.661101836394,107.39899833055092,738.2804674457429,716.821368948247
Soy Sauce,568.4924874791319,150.20868113522536,287.7762938230384,103.59933222036727,734.3055091819699,710.3155258764608
Soy Sauce,514.4758735440931,97.18968386023295,267.00499168053244,63.56572379367721,735.5191347753744,696.3394342762064
Soy Sauce,525.9484193011647,90.52745424292846,274.7271214642263,61.123128119800334,748.0765391014975,701.6056572379367
Soy Sauce,575.9650582362729,122.7936772046589,323.1763727121464,86.00499168053244,761.5956738768718,730.2662229617305
Soy Sauce,566.1181364392679,127.7703826955075,304.93843594009985,89.30782029950083,751.69384359401,710.5457570715474
Soy Sauce,567.5524126455907,148.69883527454243,314.5723793677205,93.34941763727122,755.2279534109817,747.4442595673877
Soy Sauce,553.8835274542429,136.71214642262896,278.2828618968386,88.96672212978369,741.6738768718802,712.1247920133111
Soy Sauce,608.2346089850249,155.82196339434276,324.1514143094842,107.67054908485856,760.873544093178,729.7920133111481
Fish Sauce,129.15081967213115,20.277049180327868,52.12459016393443,22.840983606557376,527.7,363.64098360655737
Fish Sauce,129.31788079470198,20.7135761589404,52.604304635761586,23.60927152317881,514.635761589404,353.5331125827815
Fish Sauce,129.92763157894737,20.601973684210527,52.97532894736842,23.426688632619438,512.2845394736842,357.9243421052632
Oyster Sauce,133.6422628951747,20.569051580698837,50.437603993344425,25.029950083194677,515.2346089850249,340.14642262895177
Oyster Sauce,105.83770491803278,19.367213114754097,45.824590163934424,22.779967159277504,490.08360655737704,322.8049180327869
Oyster Sauce,122.29344262295082,20.244262295081967,49.252459016393445,24.557377049180328,492.0360655737705,328.0163934426229
Oyster Sauce,98.14975041597337,19.214642262895175,47.402662229617306,22.89351081530782,475.7354409317804,332.43094841930116
Worcestershire Sauce,317.7104825291181,38.02828618968386,135.99667221297838,28.346089850249584,600.5806988352746,551.4242928452579
Worcestershire Sauce,325.2029950083195,35.78202995008319,121.70049916805324,30.173044925124792,612.6722129783694,558.1580698835274
Worcestershire Sauce,329.35108153078204,34.47420965058236,139.33943427620633,31.86189683860233,628.7054908485857,537.8535773710482
Worcestershire Sauce,298.6222961730449,39.703826955074874,129.6405990016639,31.509151414309486,625.7104825291182,543.6023294509151
Worcestershire Sauce,327.9257425742574,33.49009900990099,121.73267326732673,29.34158415841584,652.5660066006601,578.4323432343234
Worcestershire Sauce,321.98524590163936,33.43934426229508,113.38360655737705,28.48688524590164,649.8016393442623,563.4590163934427
Worcestershire Sauce,333.83717105263156,34.875,119.48848684210526,29.470394736842106,665.0838815789474,580.2763157894736
Worcestershire Sauce,376.58096828046746,52.81636060100167,166.2754590984975,41.63439065108514,698.8263772954925,633.4240400667779
Worcestershire Sauce,333.09390444810543,33.55518945634267,114.26194398682043,29.14003294892916,655.2800658978583,566.5716639209226
Worcestershire Sauce,341.1262458471761,35.573089700996675,118.71760797342192,30.803986710963454,650.7990033222592,570.4950166112957
Worcestershire Sauce,323.61513157894734,33.56907894736842,110.20394736842105,29.174342105263158,616.6529605263158,547.9276315789474
Worcestershire Sauce,344.16638935108153,40.43594009983361,157.35607321131448,30.292845257903494,638.2462562396007,592.2063227953411
Worcestershire Sauce,348.6921797004992,33.68219633943428,113.75207986688852,30.881863560732114,643.6222961730449,553.8419301164726
Worcestershire Sauce,358.44353518821606,35.71849427168576,120.00163666121112,31.25204582651391,658.8887070376433,574.6219312602292
Worcestershire Sauce,333.2638436482085,34.299674267100976,111.98045602605863,29.592833876221498,634.4250814332247,563.9201954397394
Worcestershire Sauce,347.8927392739274,36.115511551155116,116.44554455445545,30.264026402640265,650.440594059406,572.0280528052805
Worcestershire Sauce,349.2961730449251,35.06655574043261,117.67221297836939,30.139767054908486,647.8935108153078,570.514143094842
Worcestershire Sauce,341.56137479541735,35.35679214402619,114.81833060556465,29.594108019639936,644.5450081833061,571.4942716857611
Worcestershire Sauce,382.7920133111481,47.339434276206326,181.6089850249584,33.37936772046589,660.936772046589,604.8702163061564
Worcestershire Sauce,325.01996672212977,44.74376039933444,154.15640599001665,29.27287853577371,618.9317803660566,561.5806988352746
Worcestershire Sauce,346.8236272878536,42.36772046589018,158.15973377703827,31.24126455906822,621.91846921797,575.2096505823628
Worcestershire Sauce,317.66722129783693,38.123128119800334,119.14475873544093,33.71048252911814,603.7820299500831,528.8186356073211
Worcestershire Sauce,322.3610648918469,39.32778702163061,123.42928452579035,30.509151414309486,612.8585690515807,551.9334442595674
Worcestershire Sauce,337.7004991680532,37.4675540765391,125.00499168053244,31.772046589018302,621.0133111480865,561.324459234609
Worcestershire Sauce,323.78702163061564,35.40765391014975,122.01663893510815,29.557404326123127,614.4525790349418,553.8153078202995
