Label,MQ2,MQ3,MQ135,MQ136,MQ137,MQ138
Soy Sauce,566.0648918469218,114.34276206322797,342.94176372712144,82.15640599001664,760.5806988352746,729.9517470881864
Soy Sauce,583.9833610648918,133.6855241264559,330.75374376039935,94.66722129783692,760.4758735440931,722.2628951747088
Soy Sauce,514.4758735440931,97.18968386023296,267.00499168053244,63.56572379367721,735.5191347753744,696.3394342762064
Soy Sauce,525.9484193011647,90.52745424292846,274.7271214642263,61.123128119800334,748.0765391014975,701.6056572379367
Soy Sauce,575.9650582362729,122.7936772046589,323.1763727121464,86.00499168053244,761.5956738768718,730.2662229617305
Soy Sauce,566.1181364392679,127.7703826955075,304.93843594009985,89.30782029950083,751.69384359401,710.5457570715474
Fish Sauce,140.11647254575706,18.53910149750416,75.62229617304493,20.00665557404326,447.7720465890183,389.4675540765391
Fish Sauce,140.2828618968386,18.321131447587355,76.63560732113145,20.05823627287853,447.0648918469218,384.4841930116473
Fish Sauce,139.8269550748752,18.53910149750416,73.9018302828619,20.1297836938436,451.2412645590682,394.5391014975041
Fish Sauce,141.35108153078204,18.64226289517471,74.76539101497504,20.249584026622298,461.0133111480865,404.0881863560732
Fish Sauce,137.06322795341097,18.409317803660567,73.53743760399334,20.04492512479201,451.47254575707154,402.2579034941764
Oyster Sauce,161.45757071547422,18.537437603993343,63.24958402662229,23.16638935108153,431.5074875207987,333.9467554076539
Oyster Sauce,126.2923794712286,17.082426127527217,57.88802488335925,20.082426127527217,410.4167962674961,315.09486780715395
Oyster Sauce,114.66722129783692,16.84026622296173,56.742096505823625,19.55241264559068,398.8885191347754,311.8951747088186
Oyster Sauce,105.261231281198,16.657237936772045,56.19800332778702,19.186356073211314,444.8618968386023,310.8901830282862
Oyster Sauce,98.96505823627288,16.6522462562396,55.770382695507486,18.96173044925125,430.39767054908486,311.36605657237936
Worcestershire Sauce,317.7104825291181,38.02828618968386,135.99667221297838,28.346089850249584,600.5806988352746,551.4242928452579
Worcestershire Sauce,344.16638935108153,40.43594009983361,157.35607321131448,30.29284525790349,638.2462562396007,592.2063227953411
Worcestershire Sauce,382.7920133111481,47.339434276206326,181.6089850249584,33.37936772046589,660.936772046589,604.8702163061564
Worcestershire Sauce,325.01996672212977,44.74376039933444,154.15640599001665,29.27287853577371,618.9317803660566,561.5806988352746
Worcestershire Sauce,346.8236272878536,42.36772046589018,158.15973377703827,31.24126455906822,621.91846921797,575.2096505823628
