Label,MQ2,MQ3,MQ135,MQ136,MQ137
Worcestershire Sauce,34.29967427,111.980456,29.59283388,333.2638436,563.9201954
Worcestershire Sauce,36.11551155,116.4455446,30.2640264,347.8927393,572.0280528
Worcestershire Sauce,35.06655574,117.672213,30.13976705,349.296173,570.5141431
Worcestershire Sauce,35.35679214,114.8183306,29.59410802,341.5613748,571.4942717
Worcestershire Sauce,47.33943428,181.608985,33.37936772,382.7920133,604.8702163
Worcestershire Sauce,44.7437604,154.156406,29.27287854,325.0199667,561.5806988
Worcestershire Sauce,42.36772047,158.1597338,31.24126456,346.8236273,575.2096506
Worcestershire Sauce,38.12312812,119.1447587,33.71048253,317.6672213,528.8186356
Worcestershire Sauce,39.32778702,123.4292845,30.50915141,322.3610649,551.9334443
Worcestershire Sauce,37.46755408,125.0049917,31.77204659,337.7004992,561.3244592
Worcestershire Sauce,35.40765391,122.0166389,29.55740433,323.7870216,553.8153078
Worcestershire Sauce,42.75290216,149.2487562,32.48424544,329.7595357,582.2537313
Worcestershire Sauce,44.63770492,122.2606557,35.58852459,321.0639344,529.4491803
Worcestershire Sauce,38.37868852,115.5918033,35.32622951,341.7590164,516.9606557
Worcestershire Sauce,37.9379085,112.9281046,33.59150327,335.0441176,517.8986928
Worcestershire Sauce,38.87149918,113.4728171,33.27512356,335.5881384,527.1136738
