MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
19,78,16,50,331,389,Baseline
19,79,16,50,331,389,Baseline
19,79,16,50,331,389,Baseline
18,79,16,51,330,390,Baseline
19,78,16,50,331,389,Baseline
18,79,17,51,330,388,Baseline
18,78,17,50,330,388,Baseline
18,79,17,50,330,388,Baseline
19,79,17,50,330,388,Baseline
19,78,16,51,331,389,Baseline
19,78,17,50,330,388,Baseline
19,78,16,51,331,389,Baseline
19,79,16,50,331,389,Baseline
18,78,17,51,331,389,Baseline
19,78,17,50,331,388,Baseline
19,78,16,50,331,389,Baseline
19,79,16,50,331,389,Baseline
19,78,17,50,331,389,Baseline
18,78,17,51,331,389,Baseline
19,78,16,51,331,389,Baseline
18,78,17,50,330,387,Baseline
19,78,16,51,331,389,Baseline
18,78,17,51,330,388,Baseline
19,78,16,51,331,388,Baseline
19,78,17,50,333,389,Baseline
18,79,16,50,331,388,Baseline
19,78,17,50,330,388,Baseline
18,78,17,51,331,388,Baseline
19,79,17,50,330,388,Baseline
18,79,17,51,330,387,Baseline
19,79,16,50,331,388,Baseline
19,78,16,51,331,389,Baseline
18,78,17,51,330,387,Baseline
19,78,16,51,331,389,Baseline
19,78,16,50,330,388,Baseline
18,77,17,50,331,387,Baseline
19,78,16,51,331,388,Baseline
19,78,16,50,331,387,Baseline
19,78,16,51,331,388,Baseline
19,79,16,51,331,388,Baseline
19,78,17,50,330,387,Baseline
19,78,17,50,330,387,Baseline
18,78,17,51,331,387,Baseline
18,77,17,51,331,387,Baseline
18,78,17,51,331,388,Baseline
19,78,17,50,331,387,Baseline
19,78,16,50,331,388,Baseline
18,78,17,51,331,387,Baseline
19,78,17,50,331,387,Baseline
19,78,16,51,331,388,Baseline
18,78,17,51,331,387,Baseline
19,78,17,50,331,387,Baseline
18,78,17,51,331,387,Baseline
18,78,17,51,331,386,Baseline
19,78,17,50,331,387,Baseline
19,77,16,51,331,388,Baseline
19,78,16,50,331,387,Baseline
18,77,17,51,332,387,Baseline
18,78,17,50,331,386,Baseline
19,78,16,50,331,387,Baseline
19,77,16,51,331,387,Baseline
18,78,17,51,331,387,Baseline
