Label,MQ2,MQ3,MQ135,MQ136,MQ137
Soy Sauce,584.0865225,133.4475874,336.2712146,91.5640599,764.1131448
Soy Sauce,575.9417637,121.4575707,298.8735441,100.2079867,745.6439268
Soy Sauce,590.3344426,136.3477537,342.1863561,105.6638935,765.171381
Soy Sauce,539.6395664,120.8644986,261.4065041,84.70189702,762.504065
Soy Sauce,574.7359736,128.7392739,297.6963696,93.81023102,773.5231023
Soy Sauce,575.4561983,119.8132231,292.0842975,85.83801653,768.0495868
Soy Sauce,591.3677205,132.2063228,315.5856905,96.77537438,783.547421
Soy Sauce,561.6605657,118.5790349,276.6788686,81.01331115,760.3843594
Soy Sauce,572.4646962,116.6256158,282.6190476,84.82758621,767.4351396
Soy Sauce,573.8592471,118.1309329,275.2291326,86.47463175,763.5090016
Soy Sauce,567.9409836,117.9983607,273.5672131,84.89508197,759.8098361
Soy Sauce,578.7520799,138.18802,302.5540765,94.07154742,746.2079867
Soy Sauce,606.1101836,171.457429,362.7813022,119.9081803,771.7896494
Soy Sauce,603.375,132.4128289,303.0559211,95.46710526,776.2368421
Soy Sauce,586.3722871,148.5559265,318.293823,106.1252087,755.8430718
Soy Sauce,565.0550918,158.1903172,292.7445743,108.2838063,738.7111853
Soy Sauce,569.2804674,160.4974958,290.6611018,107.3989983,738.2804674
Soy Sauce,568.4924875,150.2086811,287.7762938,103.5993322,734.3055092
Soy Sauce,514.4758735,97.18968386,267.0049917,63.56572379,735.5191348
Soy Sauce,525.9484193,90.52745424,274.7271215,61.12312812,748.0765391
Soy Sauce,575.9650582,122.7936772,323.1763727,86.00499168,761.5956739
Soy Sauce,566.1181364,127.7703827,304.9384359,89.3078203,751.6938436
Soy Sauce,567.5524126,148.6988353,314.5723794,93.34941764,755.2279534
Soy Sauce,553.8835275,136.7121464,278.2828619,88.96672213,741.6738769
Soy Sauce,608.234609,155.8219634,324.1514143,107.6705491,760.8735441
Soy Sauce,560.1111111,152.8937908,314.870915,96.6748366,750.2156863
Soy Sauce,569.5735537,153.614876,326.3768595,97.76694215,751.6495868
Soy Sauce,570.9719472,159.4356436,318.2442244,100.539604,749.6039604
Soy Sauce,588.5645695,159.1738411,322.6622517,103.9387417,769.794702
Soy Sauce,596.9983444,147.7665563,314.5529801,110.7069536,762.3890728
Soy Sauce,591.8484349,161.8039539,342.7611203,116.0016474,769.9884679
Fish Sauce,140.1164725,18.5391015,75.62229617,20.00665557,447.7720466
Fish Sauce,146.7698675,18.49668874,54.6307947,20.70529801,422.3741722
Fish Sauce,121.7221298,18.27121464,58.63061564,20.60732113,441.7154742
Fish Sauce,125.7624585,18.14950166,58.57142857,20.69435216,440.8787375
Fish Sauce,186.5707155,21.47920133,58.56239601,26.81697171,495.3777038
Fish Sauce,147.223491,19.46166395,51.39151713,23.2675367,466.8597064
Fish Sauce,135.2724307,19.14355628,49.73735726,22.78104575,453.9151713
Fish Sauce,139.630363,19.32343234,51.01815182,22.85148515,466.3613861
Fish Sauce,130.3268293,18.85691057,48.90243902,22.26829268,452.401626
Fish Sauce,140.2828619,18.32113145,76.63560732,20.05823627,447.0648918
Fish Sauce,128.5238095,20.95238095,76.31527094,22.56321839,549.1642036
Fish Sauce,153.1747088,19.75041597,62.81031614,22.37271215,511.8851913
Fish Sauce,138.2606557,21.50819672,79.03934426,22.87848933,567.6934426
Fish Sauce,136.5792988,20.63772955,59.98998331,23.0066778,543.033389
