Trial,MQ136_mean,MQ136_std,MQ136_max,MQ136_min,MQ136_auc,MQ2_mean,MQ2_std,MQ2_max,MQ2_min,MQ2_auc,MQ3_mean,MQ3_std,MQ3_max,MQ3_min,MQ3_auc,MQ135_mean,MQ135_std,MQ135_max,MQ135_min,MQ135_auc,MQ138_mean,MQ138_std,MQ138_max,MQ138_min,MQ138_auc,MQ137_mean,MQ137_std,MQ137_max,MQ137_min,MQ137_auc,Label
Trial 11,31.86189683860233,4.925659907072326,39.0,20.0,19149.0,329.35108153078204,71.77315579778454,405.0,98.0,197940.0,34.47420965058236,7.493741176560027,45.0,17.0,20719.0,139.33943427620633,29.758058107156597,177.0,57.0,83743.0,537.8535773710482,66.81375901731903,604.0,320.0,323250.0,628.7054908485857,61.97617587299654,686.0,422.0,377852.0,Worcestershire Sauce
Trial 12,31.509151414309486,4.288319403510497,38.0,23.0,18937.0,298.6222961730449,76.92578333573066,388.0,118.0,179472.0,39.703826955074874,7.92637514620701,51.0,20.0,23862.0,129.6405990016639,34.00279839184522,172.0,58.0,77914.0,543.6023294509151,66.68329744122754,610.0,360.0,326705.0,625.7104825291182,62.71677380949739,684.0,449.0,376052.0,Worcestershire Sauce
Trial 2,30.292845257903494,4.8929402153609525,38.0,21.0,18206.0,344.16638935108153,74.83687597100545,428.0,132.0,206844.0,40.43594009983361,10.59508752631405,54.0,19.0,24302.0,157.35607321131448,39.15866016746631,202.0,60.0,94571.0,592.2063227953411,49.17086945151502,633.0,376.0,355916.0,638.2462562396007,57.67681422053275,689.0,457.0,383586.0,Worcestershire Sauce
Trial 3,33.37936772046589,3.5484533341230344,39.0,26.0,20061.0,382.7920133111481,43.43034282974643,438.0,275.0,230058.0,47.339434276206326,5.080509133705048,55.0,37.0,28451.0,181.6089850249584,24.152975842836998,214.0,125.0,109147.0,604.8702163061564,25.120802208802516,635.0,541.0,363527.0,660.936772046589,25.58720033261777,691.0,593.0,397223.0,Worcestershire Sauce
Trial 4,29.27287853577371,4.708693400967476,37.0,20.0,17593.0,325.01996672212977,86.36585647922394,418.0,123.0,195337.0,44.74376039933444,7.27685674557839,54.0,20.0,26891.0,154.15640599001665,39.88559550155972,202.0,64.0,92648.0,561.5806988352746,63.044134979013414,623.0,346.0,337510.0,618.9317803660566,66.23889355928597,681.0,416.0,371978.0,Worcestershire Sauce
Trial 5,31.24126455906822,4.7859362464725415,40.0,20.0,18776.0,346.8236272878536,77.00225059368957,429.0,128.0,208441.0,42.36772046589018,8.147734674610525,53.0,19.0,25463.0,158.15973377703827,39.00059015632249,205.0,66.0,95054.0,575.2096505823628,43.202144213029115,623.0,393.0,345701.0,621.91846921797,63.24048868647333,680.0,414.0,373773.0,Worcestershire Sauce
Trial 6,33.71048252911814,3.0040527146268863,38.0,25.0,20260.0,317.66722129783693,72.08902617094704,397.0,120.0,190918.0,38.123128119800334,5.993186441758826,48.0,20.0,22912.0,119.14475873544093,33.1858680803985,159.0,45.0,71606.0,528.8186356073211,59.37902775593357,592.0,333.0,317820.0,603.7820299500831,69.42088047168035,668.0,395.0,362873.0,Worcestershire Sauce
Trial 7,30.509151414309486,3.4804420672853156,36.0,23.0,18336.0,322.3610648918469,60.95420731348594,395.0,123.0,193739.0,39.32778702163061,6.68328258799369,49.0,20.0,23636.0,123.42928452579035,32.561352421769676,162.0,45.0,74181.0,551.9334442595674,48.79890716723184,603.0,385.0,331712.0,612.8585690515807,63.29093189798032,669.0,412.0,368328.0,Worcestershire Sauce
Trial 8,31.772046589018302,3.468846466979101,39.0,21.0,19095.0,337.7004991680532,74.90702045577001,412.0,108.0,202958.0,37.4675540765391,6.9274367463271425,47.0,20.0,22518.0,125.00499168053244,31.71506318749215,162.0,45.0,75128.0,561.324459234609,35.73371033061216,606.0,418.0,337356.0,621.0133111480865,51.40702305281615,668.0,430.0,373229.0,Worcestershire Sauce
Trial 9,29.557404326123127,3.3982156301211845,37.0,21.0,17764.0,323.78702163061564,63.041421804841185,392.0,132.0,194596.0,35.40765391014975,6.201701874737045,45.0,20.0,21280.0,122.01663893510815,24.954462140397933,153.0,55.0,73332.0,553.8153078202995,21.209379269521886,588.0,477.0,332843.0,614.4525790349418,35.55841432706284,656.0,495.0,369286.0,Worcestershire Sauce
