Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 1,19,114,18,70,373,425,Fish Sauce
Trial 1,20,114,17,70,373,426,Fish Sauce
Trial 1,20,115,18,70,374,426,Fish Sauce
Trial 1,20,115,17,70,374,426,Fish Sauce
Trial 1,19,115,18,70,374,425,Fish Sauce
Trial 1,20,115,18,71,374,425,Fish Sauce
Trial 1,20,116,18,70,374,426,Fish Sauce
Trial 1,19,116,18,70,375,427,Fish Sauce
Trial 1,19,116,18,70,374,426,Fish Sauce
Trial 1,20,116,17,70,375,427,Fish Sauce
Trial 1,20,116,18,70,375,427,Fish Sauce
Trial 1,20,116,17,70,375,428,Fish Sauce
Trial 1,19,116,17,70,375,428,Fish Sauce
Trial 1,20,117,18,70,375,427,Fish Sauce
Trial 1,20,117,18,70,376,428,Fish Sauce
Trial 1,20,117,18,70,376,428,Fish Sauce
Trial 1,19,117,18,70,376,429,Fish Sauce
Trial 1,20,117,17,70,377,429,Fish Sauce
Trial 1,19,117,18,71,377,429,Fish Sauce
Trial 1,19,117,18,71,377,430,Fish Sauce
Trial 1,20,118,18,70,377,429,Fish Sauce
Trial 1,19,118,18,71,377,429,Fish Sauce
Trial 1,19,118,18,71,378,430,Fish Sauce
Trial 1,20,118,18,70,377,430,Fish Sauce
Trial 1,20,118,18,71,378,431,Fish Sauce
Trial 1,20,119,18,71,377,430,Fish Sauce
Trial 1,18,118,17,71,378,431,Fish Sauce
Trial 1,20,119,17,71,378,431,Fish Sauce
Trial 1,20,119,17,71,378,431,Fish Sauce
Trial 1,19,119,18,71,379,431,Fish Sauce
Trial 1,20,120,18,70,379,431,Fish Sauce
Trial 1,20,120,18,71,379,432,Fish Sauce
Trial 1,20,120,18,71,379,432,Fish Sauce
Trial 1,20,120,18,71,379,432,Fish Sauce
Trial 1,20,120,17,71,379,432,Fish Sauce
Trial 1,20,120,18,72,379,432,Fish Sauce
Trial 1,20,121,18,72,380,432,Fish Sauce
Trial 1,20,121,18,72,380,433,Fish Sauce
Trial 1,20,121,18,71,380,433,Fish Sauce
Trial 1,20,121,18,71,380,433,Fish Sauce
Trial 1,20,121,18,71,380,432,Fish Sauce
Trial 1,19,122,18,72,380,433,Fish Sauce
Trial 1,20,122,18,71,381,433,Fish Sauce
Trial 1,20,122,18,72,381,433,Fish Sauce
Trial 1,20,122,18,72,381,434,Fish Sauce
Trial 1,20,122,18,72,381,434,Fish Sauce
Trial 1,20,122,18,72,381,434,Fish Sauce
Trial 1,20,122,18,72,381,435,Fish Sauce
Trial 1,20,122,18,72,382,435,Fish Sauce
Trial 1,20,123,18,72,381,434,Fish Sauce
Trial 1,20,123,18,72,382,434,Fish Sauce
Trial 1,19,123,18,72,382,436,Fish Sauce
Trial 1,19,123,18,72,382,436,Fish Sauce
Trial 1,19,124,18,73,382,435,Fish Sauce
Trial 1,20,123,18,73,382,436,Fish Sauce
Trial 1,20,124,18,72,382,435,Fish Sauce
Trial 1,20,123,18,71,383,436,Fish Sauce
Trial 1,20,124,18,72,382,435,Fish Sauce
Trial 1,20,124,18,73,383,436,Fish Sauce
Trial 1,19,124,18,73,383,436,Fish Sauce
Trial 1,20,124,18,73,383,437,Fish Sauce
Trial 1,20,125,18,73,383,437,Fish Sauce
Trial 1,20,125,18,73,383,437,Fish Sauce
Trial 1,20,125,18,73,383,436,Fish Sauce
Trial 1,19,125,18,73,383,437,Fish Sauce
Trial 1,20,125,18,73,384,436,Fish Sauce
Trial 1,20,126,18,72,384,437,Fish Sauce
Trial 1,20,125,18,73,384,438,Fish Sauce
Trial 1,20,126,18,73,385,438,Fish Sauce
Trial 1,19,126,17,73,384,438,Fish Sauce
Trial 1,19,126,18,74,384,437,Fish Sauce
Trial 1,19,126,17,73,385,439,Fish Sauce
Trial 1,20,126,18,73,384,437,Fish Sauce
