Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 1,-12.533333333333335,-258.53333333333336,-26.4,-65.73333333333332,-336.9333333333333,-315.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-258.53333333333336,-26.4,-64.73333333333332,-337.9333333333333,-316.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-257.53333333333336,-26.4,-65.73333333333332,-336.9333333333333,-316.26666666666665,Fish Sauce
Trial 1,-11.533333333333335,-258.53333333333336,-26.4,-65.73333333333332,-335.9333333333333,-315.26666666666665,Fish Sauce
Trial 1,-11.533333333333335,-257.53333333333336,-25.4,-65.73333333333332,-335.9333333333333,-316.26666666666665,Fish Sauce
Trial 1,-11.533333333333335,-257.53333333333336,-26.4,-65.73333333333332,-334.9333333333333,-316.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-257.53333333333336,-26.4,-65.73333333333332,-333.9333333333333,-316.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-257.53333333333336,-26.4,-64.73333333333332,-332.9333333333333,-315.26666666666665,Fish Sauce
Trial 1,-11.533333333333335,-257.53333333333336,-26.4,-65.73333333333332,-332.9333333333333,-315.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-257.53333333333336,-25.4,-65.73333333333332,-331.9333333333333,-314.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-257.53333333333336,-26.4,-65.73333333333332,-331.9333333333333,-315.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-257.53333333333336,-25.4,-65.73333333333332,-331.9333333333333,-315.26666666666665,Fish Sauce
Trial 1,-11.533333333333335,-257.53333333333336,-26.4,-66.73333333333332,-330.9333333333333,-314.26666666666665,Fish Sauce
Trial 1,-11.533333333333335,-256.53333333333336,-25.4,-64.73333333333332,-330.9333333333333,-315.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-257.53333333333336,-26.4,-65.73333333333332,-329.9333333333333,-314.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-257.53333333333336,-26.4,-65.73333333333332,-329.9333333333333,-314.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-256.53333333333336,-26.4,-65.73333333333332,-329.9333333333333,-313.26666666666665,Fish Sauce
Trial 1,-11.533333333333335,-256.53333333333336,-25.4,-65.73333333333332,-329.9333333333333,-315.26666666666665,Fish Sauce
Trial 1,-12.533333333333335,-256.53333333333336,-26.4,-65.73333333333332,-328.9333333333333,-313.26666666666665,Fish Sauce
