Label,MQ2,MQ3,MQ135,MQ136
Unknown,26,120,19,43
Unknown,26,120,19,43
Unknown,27,119,19,43
Unknown,26,120,18,42
Unknown,25,120,19,43
Unknown,26,119,19,43
Unknown,25,120,19,43
Unknown,27,119,19,43
Unknown,26,121,19,43
Unknown,26,119,19,43
Unknown,27,120,19,42
Unknown,25,120,20,43
Unknown,26,120,19,42
Unknown,27,120,19,44
Unknown,26,120,20,43
Unknown,26,121,19,43
Unknown,26,120,19,43
Unknown,26,120,20,43
Unknown,26,120,19,43
Unknown,26,120,19,44
Unknown,26,120,19,43
Unknown,25,121,21,43
Unknown,26,120,20,42
Unknown,26,121,19,43
Unknown,25,121,20,43
Unknown,26,121,19,43
Unknown,26,120,19,42
Unknown,26,121,19,43
Unknown,26,121,20,43
Unknown,27,122,19,43
Unknown,26,121,20,43
Unknown,26,121,20,43
Unknown,26,121,20,43
Unknown,26,122,19,43
Unknown,26,121,20,43
Unknown,26,121,19,43
Unknown,27,122,20,43
Unknown,25,121,20,43
Unknown,26,122,20,43
Unknown,26,120,19,43
Unknown,26,122,20,43
Unknown,26,122,19,43
Unknown,26,121,19,43
Unknown,26,122,19,43
Unknown,26,123,19,42
Unknown,25,122,20,44
Unknown,26,123,19,43
Unknown,26,123,20,43
Unknown,26,122,19,44
Unknown,26,122,19,43
Unknown,26,123,20,44
Unknown,26,123,20,44
Unknown,26,122,20,43
Unknown,26,122,19,43
Unknown,26,123,20,43
Unknown,26,123,20,43
Unknown,26,123,20,43
Unknown,26,123,20,44
Unknown,25,123,20,44
Unknown,26,123,20,44
Unknown,26,123,20,43
Unknown,26,124,18,43
Unknown,26,124,18,43
Unknown,26,123,19,44
Unknown,26,124,20,44
Unknown,26,123,20,43
Unknown,26,123,20,44
Unknown,25,124,20,44
Unknown,26,123,18,43
Unknown,25,124,20,43
Unknown,26,123,20,43
Unknown,26,123,19,43
Unknown,26,124,19,44
Unknown,27,124,19,44
Unknown,26,124,19,43
Unknown,26,125,19,43
Unknown,26,123,19,44
Unknown,25,124,19,43
Unknown,26,124,20,43
Unknown,26,124,19,43
Unknown,26,124,19,44
Unknown,26,125,20,44
Unknown,27,124,19,44
Unknown,26,125,18,44
Unknown,26,125,19,44
Unknown,26,125,19,43
Unknown,26,125,20,44
Unknown,26,125,19,44
Unknown,26,125,19,44
Unknown,26,125,20,43
Unknown,25,125,19,44
Unknown,27,125,19,43
Unknown,26,125,19,44
Unknown,25,125,19,43
Unknown,27,126,20,44
Unknown,26,125,20,44
Unknown,26,126,20,44
Unknown,26,126,19,43
Unknown,25,125,20,43
Unknown,25,126,20,44
Unknown,26,125,20,44
Unknown,26,126,20,43
Unknown,25,126,20,44
Unknown,26,126,19,44
Unknown,26,126,20,44
Unknown,26,126,19,44
Unknown,26,126,20,44
Unknown,25,124,19,45
Unknown,26,127,20,44
Unknown,26,127,20,44
Unknown,26,126,19,44
Unknown,26,126,20,44
Unknown,26,126,20,44
Unknown,26,127,19,44
Unknown,26,127,20,44
Unknown,26,126,19,44
Unknown,27,126,18,44
Unknown,26,127,19,43
Unknown,26,128,19,44
Unknown,26,127,20,44
Unknown,26,127,19,44
Unknown,26,127,20,44
Unknown,26,127,20,44
Unknown,26,128,20,44
Unknown,26,127,19,44
Unknown,26,128,19,44
Unknown,25,127,20,44
Unknown,26,128,19,44
Unknown,26,127,19,44
Unknown,25,128,20,45
Unknown,27,127,20,44
Unknown,26,128,19,44
Unknown,26,127,19,45
Unknown,27,128,20,44
Unknown,26,128,20,45
Unknown,26,128,19,44
Unknown,26,128,20,45
Unknown,26,128,20,44
Unknown,27,128,19,45
Unknown,26,128,19,44
Unknown,26,128,19,44
Unknown,26,128,20,44
Unknown,27,128,20,44
Unknown,26,128,19,45
Unknown,26,129,20,44
Unknown,26,129,19,44
Unknown,26,128,20,45
Unknown,26,128,20,44
Unknown,26,128,19,44
Unknown,26,129,20,45
Unknown,26,129,20,44
Unknown,26,128,20,45
Unknown,27,128,19,44
Unknown,25,128,19,45
Unknown,26,128,19,45
Unknown,26,129,20,45
Unknown,26,128,19,45
Unknown,27,129,20,45
Unknown,26,129,19,44
Unknown,26,129,21,45
Unknown,26,129,19,45
Unknown,26,129,20,44
Unknown,26,129,19,44
Unknown,26,129,20,44
Unknown,25,129,20,45
Unknown,26,129,20,44
Unknown,26,129,20,44
Unknown,26,130,19,44
Unknown,26,129,20,45
Unknown,26,129,19,45
Unknown,26,129,20,44
Unknown,26,129,19,45
Unknown,26,130,20,44
Unknown,26,129,20,45
Unknown,27,130,20,44
Unknown,26,130,20,44
Unknown,26,130,20,44
Unknown,26,129,19,45
Unknown,26,130,20,44
Unknown,26,129,20,45
Unknown,26,130,19,45
Unknown,26,130,20,45
Unknown,27,130,18,44
Unknown,27,130,20,45
Unknown,27,130,20,44
Unknown,26,130,20,46
Unknown,27,131,20,45
Unknown,26,131,19,45
Unknown,26,130,20,44
Unknown,26,130,19,45
Unknown,27,131,19,45
Unknown,27,130,19,45
Unknown,26,130,20,44
Unknown,26,131,20,44
Unknown,27,131,20,45
Unknown,26,131,20,45
Unknown,26,130,20,45
Unknown,26,131,19,44
Unknown,26,131,19,45
Unknown,26,131,20,44
Unknown,27,130,19,45
Unknown,26,130,20,44
Unknown,26,131,20,45
Unknown,26,131,20,46
Unknown,27,131,19,45
Unknown,26,131,19,45
Unknown,27,132,20,45
Unknown,25,131,20,45
Unknown,26,131,20,45
Unknown,26,131,20,44
Unknown,26,131,19,44
Unknown,27,132,19,44
Unknown,26,131,20,45
Unknown,26,131,19,44
Unknown,26,132,20,44
Unknown,26,131,20,45
Unknown,27,132,20,45
Unknown,26,133,20,45
Unknown,27,132,20,44
Unknown,26,131,19,45
Unknown,26,131,20,46
Unknown,26,132,19,46
Unknown,26,133,20,45
Unknown,26,132,20,45
Unknown,26,132,19,45
Unknown,26,133,19,45
Unknown,27,132,19,45
Unknown,27,132,20,45
Unknown,27,133,20,44
Unknown,26,133,20,45
Unknown,27,133,19,45
Unknown,27,132,19,46
Unknown,26,133,19,45
Unknown,26,132,20,45
Unknown,26,132,20,46
Unknown,26,132,19,45
Unknown,26,133,20,44
Unknown,26,133,20,44
Unknown,26,132,20,46
Unknown,26,132,20,44
Unknown,26,132,19,46
Unknown,27,133,19,46
Unknown,27,133,19,45
Unknown,27,133,20,45
Unknown,27,132,19,45
Unknown,26,133,19,45
Unknown,26,132,19,46
Unknown,27,133,20,45
Unknown,27,133,20,45
Unknown,27,132,20,45
Unknown,26,133,20,45
Unknown,26,133,19,46
Unknown,26,133,21,45
Unknown,26,132,19,45
Unknown,26,133,19,45
Unknown,26,133,20,45
Unknown,27,133,19,45
Unknown,27,133,20,46
Unknown,26,133,20,46
Unknown,27,134,20,45
